STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
DAN,M,3,SNOW WC,20100601 0000,20100601 0000,---, ,INCHES
DAN,M,3,SNOW WC,20110101 0000,20110101 0000,---, ,INCHES
DAN,M,3,SNOW WC,20110201 0000,20110128 0000,26.3, ,INCHES
DAN,M,3,SNOW WC,20110301 0000,20110301 0000,37, ,INCHES
DAN,M,3,SNOW WC,20110401 0000,20110401 0000,47, ,INCHES
DAN,M,3,SNOW WC,20110501 0000,20110427 0000,47.2, ,INCHES
DAN,M,3,SNOW WC,20110601 0000,20110603 0000,34, ,INCHES
DAN,M,3,SNOW WC,20120101 0000,20120101 0000,---, ,INCHES
DAN,M,3,SNOW WC,20120201 0000,20120129 0000,7.15, ,INCHES
DAN,M,3,SNOW WC,20120301 0000,20120226 0000,7.9, ,INCHES
DAN,M,3,SNOW WC,20120401 0000,20120329 0000,14.8, ,INCHES
DAN,M,3,SNOW WC,20120501 0000,20120424 0000,12, ,INCHES
DAN,M,3,SNOW WC,20120601 0000,20120601 0000,---, ,INCHES
DAN,M,3,SNOW WC,20130101 0000,20130101 0000,---, ,INCHES
DAN,M,3,SNOW WC,20130201 0000,20130127 0000,19, ,INCHES
DAN,M,3,SNOW WC,20130301 0000,20130222 0000,19, ,INCHES
DAN,M,3,SNOW WC,20130401 0000,20130326 0000,17.7, ,INCHES
DAN,M,3,SNOW WC,20130501 0000,20130427 0000,12.5, ,INCHES
DAN,M,3,SNOW WC,20130601 0000,20130601 0000,---, ,INCHES
DAN,M,3,SNOW WC,20140101 0000,20140101 0000,---, ,INCHES
DAN,M,3,SNOW WC,20140201 0000,20140128 0000,3, ,INCHES
DAN,M,3,SNOW WC,20140301 0000,20140222 0000,10.5, ,INCHES
DAN,M,3,SNOW WC,20140401 0000,20140328 0000,16, ,INCHES
DAN,M,3,SNOW WC,20140501 0000,20140424 0000,12, ,INCHES
DAN,M,3,SNOW WC,20140601 0000,20140601 0000,---, ,INCHES
DAN,M,3,SNOW WC,20150101 0000,20150101 0000,---, ,INCHES
DAN,M,3,SNOW WC,20150201 0000,20150128 0000,5, ,INCHES
DAN,M,3,SNOW WC,20150301 0000,20150226 0000,7, ,INCHES
DAN,M,3,SNOW WC,20150401 0000,20150327 0000,4, ,INCHES
DAN,M,3,SNOW WC,20150501 0000,20150424 0000,0, ,INCHES
DAN,M,3,SNOW WC,20150601 0000,20150601 0000,---, ,INCHES
DAN,M,3,SNOW WC,20160101 0000,20160101 0000,---, ,INCHES
DAN,M,3,SNOW WC,20160201 0000,20160129 0000,19, ,INCHES
DAN,M,3,SNOW WC,20160301 0000,20160224 0000,23.5, ,INCHES
DAN,M,3,SNOW WC,20160401 0000,20160330 0000,26.5, ,INCHES
DAN,M,3,SNOW WC,20160501 0000,20160425 0000,22.5, ,INCHES
DAN,M,3,SNOW WC,20160601 0000,20160601 0000,---, ,INCHES
