relocate_id,release_siteid1,release_date,collect_siteid,type,pit_tag_ref,sex,length,weight,swab_id,bd_load
04ba73b1-d8f7-4f3d-99ea-456240c33ffe,70413,2015-07-15,70567,translocation,900043000104408,m,48,12,RKS18428,264.48
4feec259-92f9-4840-9e20-7adaee3b7078,70413,2017-09-01,70567,translocation,900067000117426,f,41,8,RKS24967,4764.52
4feec259-92f9-4840-9e20-7adaee3b7078,70413,2017-09-01,70567,translocation,900067000117403,f,56,20,RKS24966,1961.816
4feec259-92f9-4840-9e20-7adaee3b7078,70413,2017-09-01,70567,translocation,900067000117434,m,53,18,RKS24965,417.904
4feec259-92f9-4840-9e20-7adaee3b7078,70413,2017-09-01,70567,translocation,900067000117468,f,57,22,RKS24964,32854.168
4feec259-92f9-4840-9e20-7adaee3b7078,70413,2017-09-01,70567,translocation,900067000117461,m,53,17,RKS24963,631.64
4feec259-92f9-4840-9e20-7adaee3b7078,70413,2017-09-01,70567,translocation,900067000117462,f,51,17,RKS24962,12089.624
4feec259-92f9-4840-9e20-7adaee3b7078,70413,2017-09-01,70567,translocation,900067000117413,m,51,20,RKS24961,156.856
4feec259-92f9-4840-9e20-7adaee3b7078,70413,2017-09-01,70567,translocation,900067000117383,f,57,21,RKS24960,350876
4feec259-92f9-4840-9e20-7adaee3b7078,70413,2017-09-01,70567,translocation,900067000117480,f,59,24,RKS24959,3261.32
4feec259-92f9-4840-9e20-7adaee3b7078,70413,2017-09-01,70567,translocation,900067000117455,m,56,19,RKS24958,0
4feec259-92f9-4840-9e20-7adaee3b7078,70413,2017-09-01,70567,translocation,900067000114297,m,47,16,RKS24957,1921.24
4feec259-92f9-4840-9e20-7adaee3b7078,70413,2017-09-01,70567,translocation,900067000114359,f,58,18,RKS24956,5023.664
4feec259-92f9-4840-9e20-7adaee3b7078,70413,2017-09-01,70567,translocation,900067000114645,m,49,13,RKS24955,725.128
4feec259-92f9-4840-9e20-7adaee3b7078,70413,2017-09-01,70567,translocation,900067000114727,f,55,22,RKS24954,1955.848
6ecd9b26-891f-4abb-ad87-a896ebaa12d9,70414,2006-07-18,72996,translocation,091029333,f,50,9,RKS3534,70416
6ecd9b26-891f-4abb-ad87-a896ebaa12d9,70414,2006-07-18,72996,translocation,091355322,f,49,10,RKS3533,7152
6ecd9b26-891f-4abb-ad87-a896ebaa12d9,70414,2006-07-18,72996,translocation,091057583,m,48,10,RKS3532,2160
6ecd9b26-891f-4abb-ad87-a896ebaa12d9,70414,2006-07-18,72996,translocation,092789121,m,48,10,RKS3531,2208
6ecd9b26-891f-4abb-ad87-a896ebaa12d9,70414,2006-07-18,72996,translocation,091015595,f,46,10,RKS3530,480
6ecd9b26-891f-4abb-ad87-a896ebaa12d9,70414,2006-07-18,72996,translocation,091106578,f,47,9,RKS3527,144
6ecd9b26-891f-4abb-ad87-a896ebaa12d9,70414,2006-07-18,72996,translocation,091554889,f,51,11,RKS3526,5376.000000000001
6ecd9b26-891f-4abb-ad87-a896ebaa12d9,70414,2006-07-18,72996,translocation,090887349,m,46,12,RKS3525,1488
6ecd9b26-891f-4abb-ad87-a896ebaa12d9,70414,2006-07-18,72996,translocation,091104806,f,50,11,RKS3524,11328
6ecd9b26-891f-4abb-ad87-a896ebaa12d9,70414,2006-07-18,72996,translocation,091552028,f,45,8,RKS3523,528
6ecd9b26-891f-4abb-ad87-a896ebaa12d9,70414,2006-07-18,72996,translocation,080054873,m,55,13,RKS3522,45744
6ecd9b26-891f-4abb-ad87-a896ebaa12d9,70414,2006-07-18,72996,translocation,091025053,m,45,10,RKS3521,2496
6ecd9b26-891f-4abb-ad87-a896ebaa12d9,70414,2006-07-18,72996,translocation,090893577,m,48,11,RKS3520,2784
6ecd9b26-891f-4abb-ad87-a896ebaa12d9,70414,2006-07-18,72996,translocation,091549862,m,47,8,RKS3571,7968
6ecd9b26-891f-4abb-ad87-a896ebaa12d9,70414,2006-07-18,72996,translocation,091582797,m,50,18,RKS3569,0
6ecd9b26-891f-4abb-ad87-a896ebaa12d9,70414,2006-07-18,72996,translocation,080053099,m,55,14,RKS3568,1392
6ecd9b26-891f-4abb-ad87-a896ebaa12d9,70414,2006-07-18,72996,translocation,091283821,m,51,11,RKS3567,6144
6ecd9b26-891f-4abb-ad87-a896ebaa12d9,70414,2006-07-18,72996,translocation,091522614,f,44,9,RKS3566,4752
6ecd9b26-891f-4abb-ad87-a896ebaa12d9,70414,2006-07-18,72996,translocation,091546090,m,52,11,RKS3565,0
